iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:7b38f9e9c9a96bc17a7e681e956745f59342c1c9,refine_top1_dccs,7b38f9e9c9a96bc17a7e681e956745f59342c1c9,1,0,0.428412,0.282728,0.250373,0.365285,route_0,1.0
0,refine_topk_dccs:c7c3307d244015d65771e8d565e470786182231b,refine_topk_dccs,c7c3307d244015d65771e8d565e470786182231b,2,0,0.425681,0.279117,0.291346,0.184445,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:7b38f9e9c9a96bc17a7e681e956745f59342c1c9,refine_top1_dccs,7b38f9e9c9a96bc17a7e681e956745f59342c1c9,1,0,0.429168,0.283674,0.251888,0.366203,route_0,1.0
1,refine_topk_dccs:c7c3307d244015d65771e8d565e470786182231b,refine_topk_dccs,c7c3307d244015d65771e8d565e470786182231b,2,0,0.426437,0.280063,0.292861,0.184903,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:7b38f9e9c9a96bc17a7e681e956745f59342c1c9,refine_top1_dccs,7b38f9e9c9a96bc17a7e681e956745f59342c1c9,1,0,0.430033,0.28479,0.253621,0.367261,route_0,1.0
2,refine_topk_dccs:c7c3307d244015d65771e8d565e470786182231b,refine_topk_dccs,c7c3307d244015d65771e8d565e470786182231b,2,0,0.427302,0.281179,0.294595,0.185433,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,refine_top1_dccs:7b38f9e9c9a96bc17a7e681e956745f59342c1c9,refine_top1_dccs,7b38f9e9c9a96bc17a7e681e956745f59342c1c9,1,0,0.431046,0.28614,0.255652,0.368511,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.04185,0.0,0.012555,0.026993,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
6,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.036679,0.0,0.011004,0.023658,route_0,1.0
6,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
6,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
