iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:41010ea9e528a1f40da5547aa4f516f827d74cf2,refine_top1_dccs,41010ea9e528a1f40da5547aa4f516f827d74cf2,1,0,0.378483,0.207814,0.088905,0.292379,route_0,1.0
0,refine_topk_dccs:31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,refine_topk_dccs,31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,2,0,0.376344,0.209612,0.131496,0.148967,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:41010ea9e528a1f40da5547aa4f516f827d74cf2,refine_top1_dccs,41010ea9e528a1f40da5547aa4f516f827d74cf2,1,0,0.379137,0.20857,0.09022,0.293158,route_0,1.0
1,refine_topk_dccs:31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,refine_topk_dccs,31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,2,0,0.376998,0.210368,0.13281,0.149356,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:41010ea9e528a1f40da5547aa4f516f827d74cf2,refine_top1_dccs,41010ea9e528a1f40da5547aa4f516f827d74cf2,1,0,0.379949,0.209534,0.091851,0.294131,route_0,1.0
2,refine_topk_dccs:31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,refine_topk_dccs,31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,2,0,0.37781,0.211332,0.134441,0.149843,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,refine_top1_dccs:41010ea9e528a1f40da5547aa4f516f827d74cf2,refine_top1_dccs,41010ea9e528a1f40da5547aa4f516f827d74cf2,1,0,0.380986,0.210811,0.093936,0.295385,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
6,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
6,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
6,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
