iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:6917ef9f84736951d8abd6767afb65f6cfa8a4b4,refine_top1_dccs,6917ef9f84736951d8abd6767afb65f6cfa8a4b4,1,0,0.449988,0.302802,0.327255,0.394781,route_0,1.0
0,refine_topk_dccs:fae7f6e179f05878365686ed3056cb4b2298591a,refine_topk_dccs,fae7f6e179f05878365686ed3056cb4b2298591a,2,0,0.448802,0.301214,0.373285,0.200289,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:6917ef9f84736951d8abd6767afb65f6cfa8a4b4,refine_top1_dccs,6917ef9f84736951d8abd6767afb65f6cfa8a4b4,1,0,0.451366,0.304348,0.330013,0.396408,route_0,1.0
1,refine_topk_dccs:fae7f6e179f05878365686ed3056cb4b2298591a,refine_topk_dccs,fae7f6e179f05878365686ed3056cb4b2298591a,2,0,0.45018,0.30276,0.376043,0.201102,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:6917ef9f84736951d8abd6767afb65f6cfa8a4b4,refine_top1_dccs,6917ef9f84736951d8abd6767afb65f6cfa8a4b4,1,0,0.452909,0.306211,0.333103,0.398264,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.035417,0.0,0.010625,0.022844,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.030357,0.0,0.009107,0.01958,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
